Full,Name,Nvel,Type,Dist_Mpc,f_,i_deg,L3.6_GLsun,Reff_kpc,SBeff_Lsun/pc2,Rdisk_kpc,SBdisk_Lsun/pc2,MHI_GMsun,RHI_kpc,Vflat_km/s,Qual,L16a,L16b,S4G,EDD,RC,SimbadName,NEDname,_RA_deg,_DE_deg
140,UGC06930,10,7,18.0,4,32.0,8.932,4.38,73.93,3.94,189.16,3.237,16.76,107.2,1,1,1,1,0,RC,UGC06930,UGC06930,179.32248,49.28325
141,UGC06973,9,2,18.0,4,71.0,53.87,1.61,3317.65,1.07,12730.05,1.753,11.57,174.2,3,1,0,0,0,RC,UGC06973,UGC06973,179.7176,42.7224
142,UGC06983,17,6,18.0,4,49.0,5.298,3.95,53.56,3.21,121.57,2.967,16.07,109.0,1,1,1,1,0,RC,UGC06983,UGC06983,179.78639,52.70779
146,UGC07232,4,10,2.83,2,59.0,0.113,0.46,83.34,0.29,227.42,0.046,1.54,0.0,2,0,1,0,0,RC,UGC07232,UGC07232,183.43399,36.63127
148,UGC07323,10,8,8.0,1,47.0,4.109,3.26,61.49,2.26,283.68,0.722,7.14,0.0,1,0,1,0,0,RC,UGC07323,UGC07323,184.37572,45.61929
149,UGC07399,10,8,8.43,1,55.0,1.156,1.27,113.98,1.64,135.78,0.745,7.85,103.0,1,1,1,0,0,RC,UGC07399,UGC07399,185.15883,46.29102
150,UGC07524,31,9,4.74,2,46.0,2.436,3.61,29.71,3.46,106.86,1.779,12.11,79.5,1,1,1,0,0,RC,UGC07524,UGC07524,186.45384,33.54675
151,UGC07559,7,10,4.97,2,61.0,0.109,0.98,17.9,0.58,55.06,0.169,3.76,0.0,2,0,1,1,0,RC,UGC07559,UGC07559,186.77319,37.14177
152,UGC07577,9,10,2.59,2,63.0,0.045,0.77,11.94,0.9,54.55,0.044,2.07,0.0,2,0,1,1,0,RC,UGC07577,UGC07577,186.92453,43.49947
153,UGC07603,12,7,4.7,1,78.0,0.376,0.85,81.81,0.53,520.99,0.258,4.37,61.6,1,1,1,0,0,RC,UGC07603,UGC07603,187.1838,22.82044
155,UGC07690,7,10,8.11,1,41.0,0.858,0.86,184.01,0.57,395.21,0.39,5.5,57.4,2,1,1,1,0,RC,UGC07690,UGC07690,188.11206,42.70412
156,UGC07866,7,10,4.57,2,44.0,0.124,0.95,21.92,0.61,97.46,0.118,3.3,0.0,2,0,1,0,0,RC,UGC07866,UGC07866,190.56315,38.50163
158,UGC08490,30,9,4.65,2,50.0,1.017,1.14,124.98,0.67,576.54,0.72,7.8,78.6,1,1,1,0,0,RC,UGC08490,UGC08490,202.40212,58.41873
160,UGC08699,41,2,39.3,1,73.0,50.302,1.91,2191.95,3.09,1370.35,3.738,19.05,182.4,2,1,1,0,0,RC,UGC08699,UGC08699,206.28612,41.5033
162,UGC09037,22,6,83.6,1,65.0,68.614,5.69,334.83,4.28,841.07,19.078,39.72,152.3,2,1,1,0,0,RC,UGC09037,UGC09037,212.12127,7.058
163,UGC09133,68,2,57.1,1,53.0,282.926,5.92,1284.78,6.97,864.63,33.428,60.35,226.8,1,1,1,0,0,RC,UGC09133,UGC09133,214.03213,35.34372
165,UGC10310,7,9,15.2,1,34.0,1.741,3.12,28.37,1.8,158.79,1.196,9.58,71.4,1,1,1,1,0,RC,UGC10310,UGC10310,244.07459,47.04532
